iter	Logloss
0	0.6887390911
1	0.6847272331
2	0.6811640052
3	0.6779767406
4	0.6750499244
5	0.6727883179
6	0.6703907488
7	0.6682852714
8	0.6662653998
9	0.6646473776
10	0.6630946736
11	0.661756696
12	0.660503268
13	0.6593519208
14	0.6583126271
15	0.6572927077
16	0.6564459041
17	0.6557140426
18	0.655100107
19	0.6543910678
20	0.653802342
21	0.6533581186
22	0.6529271882
23	0.6524551296
24	0.6520562529
25	0.6516579642
26	0.6513381731
27	0.6510010535
28	0.6507329071
29	0.6504471747
30	0.6501597235
31	0.6499312328
32	0.6496884717
33	0.6494708773
34	0.6493100705
35	0.649095558
36	0.6489142455
37	0.6487744187
38	0.6485712968
39	0.6484227985
40	0.6483101923
41	0.6481465882
42	0.6479910061
43	0.6478525277
44	0.6477568187
45	0.6476255574
46	0.6475023386
47	0.6474157657
48	0.6473038321
49	0.647216044
50	0.6471060572
51	0.647013446
52	0.6469470671
53	0.6468841356
54	0.6468112884
55	0.6467254508
56	0.6466322525
57	0.6465497135
58	0.6464834371
59	0.6464174275
60	0.646361746
61	0.6462851574
62	0.6462423613
63	0.646172209
64	0.6461057537
65	0.6460404404
66	0.6460100918
67	0.6459643425
68	0.6459320948
69	0.6458655221
70	0.6458153915
71	0.6457656343
72	0.6457218723
73	0.6456678785
74	0.6456127803
75	0.6455609855
76	0.645509534
77	0.6454513909
78	0.6454136762
79	0.6453730857
80	0.6453532217
81	0.6453107175
82	0.6452847195
83	0.6452482348
84	0.645188305
85	0.6451506794
86	0.6451204403
87	0.6450916953
88	0.6450519575
89	0.6450105939
90	0.6449882791
91	0.6449537043
92	0.6449101434
93	0.6448805189
94	0.644838375
95	0.6448072176
96	0.6447671955
97	0.6447459656
98	0.6446983436
99	0.6446609135
100	0.6446262202
101	0.6445875642
102	0.6445637751
103	0.6445269672
104	0.6444801872
105	0.6444502333
106	0.6444161573
107	0.644371769
108	0.6443364392
109	0.6443053526
110	0.644260668
111	0.6442276793
112	0.6442075858
113	0.6441762173
114	0.6441347893
115	0.6441112911
116	0.6440886278
117	0.6440629901
118	0.6440331823
119	0.6439882619
120	0.6439779133
121	0.6439467555
122	0.6438877105
123	0.6438666041
124	0.643837497
125	0.64381425
126	0.6437838249
127	0.6437412202
128	0.643715083
129	0.6436884188
130	0.6436701065
131	0.6436423682
132	0.6436071638
133	0.6435670819
134	0.6435484186
135	0.6435002352
136	0.6434744556
137	0.6434422267
138	0.6434355177
139	0.6434019748
140	0.643376167
141	0.6433498027
142	0.6433313622
143	0.6433071677
144	0.6432846099
145	0.6432597785
146	0.6432292263
147	0.6432143007
148	0.6431912082
149	0.64317124
150	0.6431425871
151	0.6431084095
152	0.6430994821
153	0.6430765992
154	0.6430500149
155	0.6430250536
156	0.6429904171
157	0.6429843653
158	0.642958135
159	0.6429345374
160	0.6429326079
161	0.6428849371
162	0.642849296
163	0.6428183464
164	0.6428035289
165	0.6427650116
166	0.6427507895
167	0.6427313422
168	0.6427021878
169	0.6426752735
170	0.6426573975
171	0.642634602
172	0.6426050829
173	0.6425620233
174	0.6425510673
175	0.6425276505
176	0.6424911304
177	0.6424790972
178	0.6424653759
179	0.6424332496
180	0.6424239455
181	0.642407071
182	0.642405116
183	0.6423859622
184	0.6423683409
185	0.6423261952
186	0.6423111881
187	0.64229229
188	0.6422678293
189	0.6422398991
190	0.6422126756
191	0.6421925303
192	0.6421677597
193	0.6421335303
194	0.6421045502
195	0.6420762628
196	0.6420423435
197	0.6420187361
198	0.6419969416
199	0.6419763907
200	0.6419640692
201	0.6419281146
202	0.6419062317
203	0.6418738014
204	0.6418518324
205	0.6418303961
206	0.6418150782
207	0.6417895221
208	0.6417642156
209	0.6417463664
210	0.6417265614
211	0.6417072915
212	0.6416777919
213	0.6416554792
214	0.6416244922
215	0.6415966664
216	0.6415629333
217	0.6415500899
218	0.6415208157
219	0.6415007871
220	0.6414655274
221	0.6414443809
222	0.6414303199
223	0.6414098595
224	0.6413895468
225	0.6413580405
226	0.6413295782
227	0.6412992953
228	0.6412743292
229	0.641258826
230	0.6412346687
231	0.6412073389
232	0.6411754556
233	0.6411570987
234	0.641126945
235	0.6410936733
236	0.6410676013
237	0.641043998
238	0.6410188532
239	0.6409965647
240	0.6409785605
241	0.6409465529
242	0.6409248394
243	0.6409033461
244	0.6408771711
245	0.6408591905
246	0.6408262737
247	0.6408091664
248	0.640785969
249	0.6407577284
250	0.6407367679
251	0.6407064721
252	0.6406846601
253	0.6406645808
254	0.6406444285
255	0.6406279438
256	0.6406134216
257	0.6405943176
258	0.6405717409
259	0.6405486015
260	0.6405245
261	0.6405028841
262	0.6404767712
263	0.640453579
264	0.6404333457
265	0.6404139458
266	0.6403903842
267	0.6403701049
268	0.6403536873
269	0.6403380434
270	0.6403173779
271	0.6402918931
272	0.6402724003
273	0.640259773
274	0.6402338329
275	0.6402075194
276	0.6401755652
277	0.6401577467
278	0.6401363466
279	0.6401163882
280	0.6400894187
281	0.6400685679
282	0.6400460839
283	0.640026071
284	0.6400078981
285	0.6399863128
286	0.6399709277
287	0.6399538663
288	0.6399352852
289	0.6399140882
290	0.6398884295
291	0.6398706048
292	0.6398546621
293	0.6398373447
294	0.639821714
295	0.6397888296
296	0.6397703367
297	0.6397516217
298	0.6397389422
299	0.6397186611
300	0.639699384
301	0.6396809834
302	0.6396492607
303	0.6396228816
304	0.6396045518
305	0.639574701
306	0.6395596668
307	0.6395425855
308	0.6395257136
309	0.6395071392
310	0.6394844761
311	0.6394654243
312	0.6394447502
313	0.6394284461
314	0.6394089515
315	0.6393942909
316	0.6393693108
317	0.6393376908
318	0.639312964
319	0.6392916922
320	0.6392799604
321	0.639261098
322	0.6392280416
323	0.6392053903
324	0.6391822216
325	0.6391590858
326	0.6391348274
327	0.639118569
328	0.6391016562
329	0.6390915872
330	0.6390728501
331	0.6390503552
332	0.6390331717
333	0.6390118724
334	0.6389981028
335	0.6389811771
336	0.6389612904
337	0.6389432825
338	0.6389246421
339	0.6389025525
340	0.6388727053
341	0.6388545808
342	0.6388388485
343	0.6388143151
344	0.6387971566
345	0.6387819406
346	0.6387646266
347	0.6387510275
348	0.6387345126
349	0.6387170871
350	0.6387014919
351	0.6386693436
352	0.6386538813
353	0.6386306511
354	0.6386121458
355	0.6386015337
356	0.6385854349
357	0.638568498
358	0.6385588149
359	0.6385384226
360	0.6385220892
361	0.6385031316
362	0.6384830169
363	0.6384695539
364	0.638448978
365	0.638421954
366	0.6383999436
367	0.6383838441
368	0.6383609182
369	0.6383439569
370	0.6383292558
371	0.6383066082
372	0.6382923582
373	0.6382689957
374	0.6382503753
375	0.6382335105
376	0.6382248842
377	0.6382063809
378	0.6381888251
379	0.6381655841
380	0.6381560199
381	0.6381358103
382	0.6381163095
383	0.6380991336
384	0.63808531
385	0.6380670793
386	0.6380540349
387	0.6380350827
388	0.6380190849
389	0.6379984262
390	0.6379842867
391	0.6379649517
392	0.6379448239
393	0.6379261846
394	0.6379094718
395	0.6378806089
396	0.6378663527
397	0.6378522172
398	0.6378419796
399	0.6378249865
400	0.6378106992
401	0.6377889364
402	0.6377796494
403	0.6377552678
404	0.6377365843
405	0.6377204878
406	0.6377011343
407	0.6376886281
408	0.6376671765
409	0.6376507238
410	0.6376411935
411	0.6376247775
412	0.6376105061
413	0.6375935039
414	0.6375763943
415	0.6375626297
416	0.6375488083
417	0.6375342566
418	0.637514164
419	0.6374901986
420	0.6374804667
421	0.6374649258
422	0.6374570506
423	0.6374453107
424	0.6374278907
425	0.6374211599
426	0.6374111507
427	0.6373879778
428	0.6373666855
429	0.6373517485
430	0.6373334747
431	0.637317183
432	0.6372996805
433	0.637288017
434	0.6372701237
435	0.6372579197
436	0.6372424732
437	0.6372317291
438	0.6372082239
439	0.6371942919
440	0.6371835973
441	0.6371737742
442	0.6371601065
443	0.6371494147
444	0.6371391797
445	0.6371302536
446	0.6371123258
447	0.6371033955
448	0.6370894061
449	0.6370596476
450	0.6370489737
451	0.6370289562
452	0.6370130107
453	0.6370026177
454	0.6369916701
455	0.6369741744
456	0.6369612495
457	0.6369544038
458	0.6369394098
459	0.6369294947
460	0.6369159134
461	0.6368999093
462	0.6368821154
463	0.6368751014
464	0.6368644214
465	0.6368498907
466	0.6368351448
467	0.6368206936
468	0.6368112603
469	0.6368063388
470	0.6367911068
471	0.6367826
472	0.6367603875
473	0.636747382
474	0.6367409518
475	0.6367254607
476	0.6367124427
477	0.636698848
478	0.6366896486
479	0.6366782948
