iter	Passed	Remaining
0	161	160846
1	168	83849
2	173	57697
3	179	44750
4	185	36824
5	189	31434
6	195	27761
7	201	25011
8	207	22899
9	213	21124
10	219	19697
11	224	18491
12	230	17507
13	236	16635
14	241	15873
15	247	15217
16	253	14676
17	259	14178
18	265	13703
19	271	13326
20	278	12964
21	283	12599
22	289	12304
23	295	12033
24	301	11761
25	307	11525
26	312	11279
27	319	11083
28	325	10910
29	331	10726
30	338	10578
31	344	10433
32	351	10308
33	358	10188
34	365	10074
35	372	9976
36	379	9882
37	385	9759
38	392	9677
39	400	9623
40	408	9545
41	415	9477
42	422	9399
43	430	9350
44	435	9252
45	443	9188
46	449	9113
47	455	9041
48	462	8979
49	470	8931
50	476	8875
51	484	8829
52	491	8776
53	497	8710
54	504	8668
55	511	8622
56	517	8565
57	524	8511
58	530	8461
59	537	8423
60	544	8376
61	551	8341
62	557	8284
63	564	8252
64	570	8208
65	576	8152
66	581	8104
67	586	8043
68	592	8000
69	599	7965
70	605	7925
71	613	7902
72	619	7872
73	626	7842
74	633	7809
75	640	7781
76	647	7755
77	654	7733
78	660	7701
79	667	7672
80	673	7636
81	679	7608
82	686	7579
83	692	7556
84	700	7537
85	706	7508
86	713	7482
87	720	7462
88	726	7435
89	733	7413
90	739	7390
91	746	7371
92	753	7349
93	759	7320
94	766	7297
95	772	7274
96	779	7251
97	785	7231
98	792	7209
99	798	7189
100	805	7171
101	812	7153
102	819	7137
103	826	7123
104	833	7105
105	840	7088
106	847	7071
107	854	7055
108	860	7037
109	867	7018
110	873	6999
111	880	6984
112	887	6968
113	894	6950
114	900	6930
115	907	6913
116	913	6893
117	920	6877
118	926	6858
119	932	6836
120	936	6799
121	941	6777
122	948	6759
123	953	6739
124	959	6716
125	966	6700
126	972	6682
127	978	6664
128	984	6645
129	990	6628
130	997	6615
131	1003	6597
132	1009	6582
133	1015	6563
134	1021	6545
135	1028	6531
136	1034	6514
137	1040	6499
138	1045	6475
139	1051	6458
140	1057	6442
141	1063	6425
142	1069	6411
143	1075	6394
144	1081	6380
145	1088	6367
146	1095	6356
147	1100	6333
148	1107	6326
149	1113	6309
150	1119	6297
151	1125	6281
152	1132	6268
153	1137	6251
154	1143	6235
155	1149	6221
156	1156	6207
157	1161	6188
158	1167	6176
159	1173	6161
160	1177	6135
161	1184	6126
162	1190	6114
163	1197	6102
164	1203	6091
165	1209	6078
166	1215	6063
167	1221	6049
168	1228	6038
169	1234	6026
170	1240	6013
171	1246	5999
172	1252	5986
173	1258	5973
174	1263	5956
175	1269	5944
176	1275	5930
177	1281	5918
178	1287	5905
179	1293	5893
180	1299	5878
181	1305	5868
182	1310	5849
183	1316	5840
184	1323	5830
185	1329	5819
186	1336	5810
187	1342	5799
188	1349	5789
189	1355	5778
190	1361	5768
191	1367	5756
192	1374	5745
193	1381	5737
194	1387	5728
195	1394	5719
196	1400	5709
197	1406	5697
198	1413	5689
199	1419	5678
200	1426	5668
201	1432	5659
202	1439	5650
203	1445	5641
204	1451	5630
